Building Id,Compliance Status,Property Name,Street,Zipcode,Year Built,Address Source,Address Type,Master Property Type,Primary Property Type Epa Calculated,Assessor Sector,Government Type,Master Sq Ft,Reporting Year,Energy Star Score,Site Energy Use (Kbtu),Site Eui (Kbtu/Sq Ft),Weather Normalized Site Energy Use,Weather Normalized Site Eui (Kbtu/Sq Ft),Electricity Use Grid Purchase And Onsite (Kwh),Electricity Use - Grid Purchase (Kwh),Electricity Use Onsite Renewable (Kwh),Green Power - Onsite And Offsite (Kwh),Natural Gas Use (Kbtu),District Steam Use (Kbtu),District Chilled Water Use (Kbtu),Total Ghg Emissions (Metric Tons Co2E),Energy Star Certification - Years Certified,Recent Energy Star Certification
1001,In Compliance,Baymont Inn And Suites Denver Airport,6805 N Argonne St,80233,2009,Portfolio Manager,Building,Hotel,Hotel,Commercial,,58929,2022,71,4499808.7,76.4,4518589.9,76.7,568232.4,568232.3,0,#N/A,2561000,0,0,458.3,0,0
1002,In Compliance,Hyatt House Denver International Airport,18741 E. 71St Ave.,80249,2010,Portfolio Manager,Building,Hotel,Hotel,Commercial,,491154,2022,78,6606341.5,72.5,6562805.3,72,1188260,1188259.4,0,#N/A,2552000,0,0,756.2,0,0
1003,In Compliance,Argonne Denver Airport Business Park,"6850, 6860, & 6890 Argonne Street",80249,2008,Portfolio Manager,Building,Office,Office,Commercial,,91560,2022,0,9325065.3,101.8,9556590.4,104.4,1043916,1043915.9,0,#N/A,5763223.9,0,0,898.2,0,0
1006,In Compliance,Denver Co Dis,7030 Tower Rd,80249,2000,Portfolio Manager,Building,Hotel,Hotel,Commercial,,53785,2022,72,3200821.4,59.5,3178622.3,59.1,501260.2,501260.2,0,#N/A,1490521.5,0,0,363.5,0,0
1007,In Compliance,Denver Co Hph,7020 Tower Rd,80249,2000,Portfolio Manager,Building,Hotel,Hotel,Commercial,,50127,2022,89,3187444,63.6,3219096.7,64.2,513361,513361,0,#N/A,1435856.2,0,0,367.5,0,0
1008,Not Submitted,Holiday Inn Express Hotel,7010 N Tower Rd,80249-7311,1998,Assessor Data,Building,Hotel,,Commercial,,47551,,,,,,,,,,#N/A,,,,,,
1009,In Compliance,Denver Airport Co Dt,6900 Tower Rd,80249,1980,Portfolio Manager,Building,Hotel,Hotel,Commercial,,105670,2022,83,7187476.3,68,7301530,69.1,1218071,1218070.4,0,#N/A,3031419.7,0,0,851.9,0,0
1010,In Compliance,Denver Co Hies,6910 Tower Rd,80249,1980,Portfolio Manager,Building,Hotel,Hotel,Commercial,,70848,2022,94,3963707.6,55.9,3963707.6,55.9,584475,584474.9,0,#N/A,1969478.9,0,0,436.1,0,0
1011,In Compliance,Quality Inn & Suites Dia,6890 Tower Road,80249,1999,Portfolio Manager,Building,Hotel,Hotel,Commercial,,53920,2022,98,3877097.3,71.9,3928021,72.8,516610.9,516610.8,0,#N/A,2114420.9,0,0,405.3,0,0
1012,In Compliance,311Mj-Denap-Cy Denver Airport,6901 Tower Road,80249,1997,Portfolio Manager,Building,Hotel,Hotel,Commercial,,107400,2022,75,7965502,74.2,8036918.9,74.8,1471718,1471717.9,0,#N/A,2943999.9,0,0,991.2,0,0
1013,In Compliance,Denver Airport Co Ffis,6851 Tower Road,80249,1995,Portfolio Manager,Building,Hotel,Hotel,Commercial,,80287,2022,78,4618731.9,57.5,4618731.9,57.5,720320,720319.9,0,#N/A,2161000,0,0,523.4,0,0
1014,In Compliance,0978-Denver (Airport/Dia),6801 Tower Rd.,80249,1998,Portfolio Manager,Building,Hotel,Hotel,Commercial,,92657,2022,58,6294643.7,67.9,6343143.9,68.5,899075,899074.9,0,#N/A,3226999.9,0,0,681.4,0,0
1015,In Compliance,High Plains Office,18300 E 71St Ave,80249,2004,Portfolio Manager,Building,Office,Office,Commercial,,27067,2022,57,1516360.5,56,1529411.9,56.5,416343.4,416343.3,0,#N/A,95796.9,0,0,241.2,0,0
