Name,Latitude,Longitude,Type,M,S,E,T,Building ID
Adams Community Solar Garden III LLC,39.7867,-104.5877,Energy Generator,4.716,1e-08,7920000000.0,1e-08,
Adams Community Solar Garden LLC,39.7876,-104.5859,Energy Generator,7.1819999999999995,1e-08,7920000000.0,1e-08,
Alden Solar CSG LLC,40.45633,-104.58107,Energy Generator,12.5856,1e-08,7920000000.0,1e-08,
Amazon DEN2 Solar Project,39.75,-104.75,Energy Generator,0.7704,1e-08,7920000000.0,1e-08,
Amazon Denver DEN3,39.885061,-104.982339,Energy Generator,2.2607999999999997,1e-08,7920000000.0,1e-08,
Arapahoe Combustion Turbine Facility,39.6692,-105.0018,Energy Generator,730.602,1e-08,8554788000000.0,1e-08,
Bison Solar LLC,40.863809,-105.0111,Energy Generator,223.7472,1e-08,7920000000.0,1e-08,
Blue Spruce Energy Center,39.747875,-104.681404,Energy Generator,759.996,1e-08,12315584160000.0,1e-08,
Boulder Canyon Hydro,40.004725,-105.332495,Energy Generator,33.224399999999996,1e-08,7920000000.0,1e-08,
Boulder City Betasso Hydro Plant,40.0111,-105.3347,Energy Generator,23.4252,1e-08,7920000000.0,1e-08,
Boulder City Lakewood Hydro,40.0111,-105.3347,Energy Generator,23.4252,1e-08,7920000000.0,1e-08,
Boulder City Silver Lake Hydro,39.991311,-105.50003,Energy Generator,30.751199999999997,1e-08,7920000000.0,1e-08,
Cedar Creek II,40.9475,-103.783889,Energy Generator,1716.264,1e-08,7920000000.0,1e-08,
Cedar Creek Wind,40.8944,-104.0206,Energy Generator,1858.9644,1e-08,7920000000.0,1e-08,
Cherokee,39.807275,-104.964548,Energy Generator,10821.4272,1e-08,8003936160000.0,1e-08,
City & County of Denver at Denver Int'l,39.904133,-104.654183,Energy Generator,18.936,1e-08,7920000000.0,1e-08,
City of Boulder WWTP,40.048025,-105.180327,Energy Generator,4.654800000000001,1e-08,7920000000.0,1e-08,
CO LI CSG 1 - Kamerra,39.784879,-104.583391,Energy Generator,13.356,1e-08,7920000000.0,1e-08,
Colorado Energy Nations Company,39.7606,-105.215,Energy Generator,543.8592,1e-08,5297165280000.0,1e-08,
Denver Int Airport,39.836789,-104.697149,Energy Generator,5.266800000000001,1e-08,7920000000.0,1e-08,
Denver Metro Solar,39.759298,-104.621139,Energy Generator,0.0036,1e-08,7920000000.0,1e-08,
Fort Lupton,40.0922,-104.796,Energy Generator,16.9848,1e-08,15421348800000.0,1e-08,
Fort St. Vrain,40.2461,-104.8742,Energy Generator,11126.354399999998,1e-08,7660825920000.0,1e-08,
Frank Knutson Station,39.941129,-104.682015,Energy Generator,453.76559999999995,1e-08,11892070079999.998,1e-08,
Gilcrest Sun CSG,40.293752,-104.806202,Energy Generator,0.0,1e-08,7920000000.0,1e-08,
Gilcrest V CSG,40.317966,-104.770747,Energy Generator,34.077600000000004,1e-08,7920000000.0,1e-08,
Gross Hydro Plant,39.9456,-105.3565,Energy Generator,42.1452,1e-08,7920000000.0,1e-08,
Hillcrest Pump Station,39.6419,-104.9138,Energy Generator,22.593600000000002,1e-08,7920000000.0,1e-08,
IBM Solar,40.038266,-105.244892,Energy Generator,55.314,1e-08,7920000000.0,1e-08,
Imboden Solar Garden,39.786769,-104.583574,Energy Generator,22.8744,1e-08,7920000000.0,1e-08,
J M Shafer,40.0986,-104.7736,Energy Generator,2850.948,1e-08,7656992640000.0,1e-08,
Jack's Solar Garden,40.122552,-105.130321,Energy Generator,7.0488,1e-08,7920000000.0,1e-08,
Jeffco Community Solar Gardens LLC,39.859564,-105.149694,Energy Generator,7.5348,1e-08,7920000000.0,1e-08,
Lafayette Horizon Solar CSG LLC,39.981606,-105.063747,Energy Generator,12.7836,1e-08,7920000000.0,1e-08,
Metro Wastewater Reclamation District,39.8078,-104.9542,Energy Generator,131.86440000000002,1e-08,124771680000.0,1e-08,
"Mountain Breeze Wind, LLC",40.960618,-104.003174,Energy Generator,2115.1008,1e-08,7920000000.0,1e-08,
Mtn. Solar 1,39.777621,-104.58591,Energy Generator,12.4488,1e-08,7920000000.0,1e-08,
Mtn. Solar 2,39.766772,-104.59054,Energy Generator,12.7296,1e-08,7920000000.0,1e-08,
Mtn. Solar 4 (CSG),39.727586,-105.113057,Energy Generator,0.5723999999999999,1e-08,7920000000.0,1e-08,
Oak Leaf Solar XXII LLC (CSG),39.904373,-104.6848,Energy Generator,12.8448,1e-08,7920000000.0,1e-08,
Oak Leaf Solar XXIII LLC (CSG),39.80165,-104.62146,Energy Generator,13.4496,1e-08,7920000000.0,1e-08,
Oak Leaf Solar XXVI LLC,39.899,-104.659,Energy Generator,13.0104,1e-08,7920000000.0,1e-08,
Oak Leaf Solar XXVII LLC,40.44,-104.64,Energy Generator,12.6576,1e-08,7920000000.0,1e-08,
Oak Leaf Solar XXVIII LLC (CSG),40.237,-104.779,Energy Generator,12.6288,1e-08,7920000000.0,1e-08,
Panasonic Carport Solar Hybrid,39.808719,-104.781494,Energy Generator,0.0036,1e-08,7920000000.0,1e-08,
"Pioneer Solar (CO), LLC",39.761569,-104.45903,Energy Generator,529.1208,1e-08,7920000000.0,1e-08,
Plains End,39.857499,-105.225967,Energy Generator,32.1948,1e-08,9406552320000.0,1e-08,
Plains End II LLC,39.8586,-105.2256,Energy Generator,46.2096,1e-08,8666570880000.0,1e-08,
"Platteville Solar CSG, LLC",40.22833,-104.77471,Energy Generator,10.5588,1e-08,7920000000.0,1e-08,
Rawhide Energy Station,40.860905,-105.021207,Energy Generator,6711.156,1e-08,16281484560000.0,1e-08,
Rawhide Prairie Solar Hybrid,40.857978,-105.015561,Energy Generator,129.3948,1e-08,7920000000.0,1e-08,
Rocky Mountain Energy Center,40.0908,-104.5953,Energy Generator,7148.6784,1e-08,8158930560000.0,1e-08,
RV CSU Power II LLC,40.592841,-105.147097,Energy Generator,13.7952,1e-08,7920000000.0,1e-08,
RV CSU Power LLC,40.591099,-105.145904,Energy Generator,10.8468,1e-08,7920000000.0,1e-08,
Spindle Hill Energy Center,40.092192,-104.887844,Energy Generator,856.6848,1e-08,10901990880000.0,1e-08,
SR Jenkins Ft Lupton,40.081444,-104.746661,Energy Generator,116.5968,1e-08,7920000000.0,1e-08,
SR Platte Solar Farm,40.181742,-104.692067,Energy Generator,132.12,1e-08,7920000000.0,1e-08,
Strontia Springs Hydro Plant,39.4326,-105.1263,Energy Generator,27.4392,1e-08,7920000000.0,1e-08,
TruStile Doors - Denver,39.825708,-104.97312,Energy Generator,2.1564,1e-08,7920000000.0,1e-08,
University of Colorado,40.00759,-105.269204,Energy Generator,9.158399999999999,1e-08,5282196480000.0,1e-08,
Valmont,40.0195,-105.202,Energy Generator,20.8368,1e-08,13660130880000.0,1e-08,
Valmont Combustion Turbine Facility,40.0205,-105.2009,Energy Generator,51.303599999999996,1e-08,11732086080000.0,1e-08,
Vasquez V CSG,40.231806,-104.79894,Energy Generator,1.5408,1e-08,7920000000.0,1e-08,
Venture 1 - 1A CSG,39.752297,-104.667388,Energy Generator,7.815600000000001,1e-08,7920000000.0,1e-08,
Venture 2 - 1B,39.752244,-104.66509,Energy Generator,2.5631999999999997,1e-08,7920000000.0,1e-08,
Venture 3 - 1C,39.750499,-104.66733,Energy Generator,1.6523999999999999,1e-08,7920000000.0,1e-08,
Venture 4 - 1D,39.752334,-104.66733,Energy Generator,2.4659999999999997,1e-08,7920000000.0,1e-08,
Victory Solar LLC,39.795,-104.433,Energy Generator,104.4972,1e-08,7920000000.0,1e-08,
Weld 1 Community Solar Array,40.232146,-104.791865,Energy Generator,12.1896,1e-08,7920000000.0,1e-08,
Xcel Adams 1 Community Solar Array,39.765479,-104.588631,Energy Generator,12.988800000000001,1e-08,7920000000.0,1e-08,
Xcel Adams 2 Community Solar Array,39.784937,-104.583391,Energy Generator,13.2804,1e-08,7920000000.0,1e-08,
Baymont Inn And Suites Denver Airport,,,Energy Consumer,-4.747548367863721,1e-08,3629736000000.0,1e-08,1001.0
Hyatt House Denver International Airport,,,Energy Consumer,-6.9700575950874,1e-08,5989104000000.0,1e-08,1002.0
Argonne Denver Airport Business Park,,,Energy Consumer,-9.838462365130681,1e-08,7113744000000.0,1e-08,1003.0
Denver Co Dis,,,Energy Consumer,-3.37704454266984,1e-08,2878920000000.0,1e-08,1006.0
Denver Co Hph,,,Energy Consumer,-3.3629306418864,1e-08,2910600000000.0,1e-08,1007.0
Holiday Inn Express Hotel,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1008.0
Denver Airport Co Dt,,,Energy Consumer,-7.583187120182279,1e-08,6747048000000.0,1e-08,1009.0
Denver Co Hies,,,Energy Consumer,-4.181931900142559,1e-08,3453912000000.0,1e-08,1010.0
Quality Inn & Suites Dia,,,Energy Consumer,-4.09055321810988,1e-08,3209976000000.0,1e-08,1011.0
311Mj-Denap-Cy Denver Airport,,,Energy Consumer,-8.4040474919112,1e-08,7850304000000.0,1e-08,1012.0
Denver Airport Co Ffis,,,Energy Consumer,-4.873018955993641,1e-08,4145328000000.0,1e-08,1013.0
0978-Denver (Airport/Dia),,,Energy Consumer,-6.64119908568972,1e-08,5396688000000.0,1e-08,1014.0
High Plains Office,,,Energy Consumer,-1.5998446371437998,1e-08,1910304000000.0,1e-08,1015.0
7001 Tower Road,,,Energy Consumer,-4.0180442054832,1e-08,3175128000000.0,1e-08,1016.0
Staybridge Suites Dia,,,Energy Consumer,-7.45322885305776,1e-08,6290856000000.0,1e-08,1017.0
Embassy Suites Dia,,,Energy Consumer,-7.16797631913588,1e-08,8434008000000.0,1e-08,1018.0
Denver Airport Co Shs,,,Energy Consumer,-4.5401743410336,1e-08,3607560000000.0,1e-08,1019.0
Denver Airport Co Hamp,,,Energy Consumer,-4.73014269360828,1e-08,3916440000000.0,1e-08,1020.0
Dia Hospitality,,,Energy Consumer,-3.42009239373324,1e-08,2661912000000.0,1e-08,1021.0
Ramada Inn,,,Energy Consumer,-1.0550556e-06,1e-08,7920000000.0,1e-08,1022.0
Green Valley Ranch,,,Energy Consumer,-3.02507029260396,1e-08,2567664000000.0,1e-08,1036.0
Green Valley Ranch Library,,,Energy Consumer,-2.3360503016844,1e-08,1848528000000.0,1e-08,1037.0
62000083-Green Valley Rnch Town Cntr,,,Energy Consumer,-10.94276310728292,1e-08,10645272000000.0,1e-08,1041.0
Montbello Rec Ctr,,,Energy Consumer,-5.556161443176721,1e-08,4479552000000.0,1e-08,1047.0
